UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
,Total,,"25,658,966","5,874,119","7,056,552","8,449,369","347,417","7,394,437","886,955","48,273,378"
10007774,The University of Oxford,31/07/2022,"466,833","206,056","711,386","1,154,162","130,100",,"106,703","2,775,240"
10007788,The University of Cambridge,31/07/2022,"376,232","197,252","551,823","1,027,053","13,557",,"52,831","2,218,748"
10007784,University College London,31/07/2022,"778,553","221,891","524,890","197,006","6,938",,"22,501","1,751,779"
10007790,The University of Edinburgh,31/07/2022,"496,955","198,304","331,633","221,889","19,925","1,268,706","28,737","1,297,443"
10007798,The University of Manchester,31/07/2022,"638,205","136,462","270,561","158,368","4,169",,"9,362","1,217,127"
10003270,"Imperial College of Science, Technology and Medicine",31/07/2022,"423,195","151,737","368,432","148,303","7,131",,"64,395","1,163,193"
10003645,King's College London,31/07/2022,"610,493","138,971","221,164","162,788","4,626",,"11,209","1,149,251"
10007795,The University of Leeds,31/07/2022,"500,511","95,236","177,297","142,431","3,374",,"10,686","929,535"
10007794,The University of Glasgow,31/07/2022,"380,717","178,947","196,119","156,587","9,488","921,858","7,500","929,358"
10006840,The University of Birmingham,31/07/2022,"418,346","95,599","214,964","144,327","6,674",,"8,030","887,940"
10007786,The University of Bristol,31/07/2022,"388,432","119,991","192,796","148,866","3,900",,"4,500","858,485"
10007157,The University of Sheffield,31/07/2022,"379,257","95,098","204,843","132,718","2,261",,"8,220","822,397"
10007154,University of Nottingham,31/07/2022,"433,704","108,548","131,360","122,663","1,222",,"4,369","801,866"
10007163,The University of Warwick,31/07/2022,"429,565","68,706","139,920","135,285","2,066",,"3,416","778,958"
10007158,The University of Southampton,31/07/2022,"326,114","83,021","114,715","140,094","6,008",,"2,879","672,831"
10007775,Queen Mary University of London,31/07/2022,"354,153","73,224","123,382","77,316","2,168",,"4,285","634,528"
