UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
10004113,Loughborough University,31/07/2018,"152,130","38,050","41,892","67,018",574,"299,664","1,146","300,810"
10004180,The Manchester Metropolitan University,31/07/2018,"249,234","31,600","9,425","33,319","1,627","325,205",91,"325,296"
10007798,The University of Manchester,31/07/2018,"462,845","127,126","298,714","151,432","8,044","1,048,161","10,999","1,059,160"
10004351,Middlesex University,31/07/2018,"153,511","18,931","5,325","26,268",402,"204,437",129,"204,566"
10007799,Newcastle University,31/07/2018,"252,408","69,958","109,454","73,708","2,458","507,986","3,113","511,099"
10007832,Newman University,31/07/2018,"19,782","1,388",541,"2,423",17,"24,151",0,"24,151"
10007138,The University of Northampton,31/07/2018,"98,096","10,986","2,281","14,427",611,"126,401",306,"126,707"
10001282,University of Northumbria at Newcastle,31/07/2018,"192,961","21,282","6,623","34,203",249,"255,318",182,"255,500"
10004775,Norwich University of the Arts,31/07/2018,"19,511","2,075",77,"1,172",163,"22,998",123,"23,121"
10007154,University of Nottingham,31/07/2018,"334,224","90,126","120,148","112,236","3,685","660,419","3,570","663,989"
10004797,The Nottingham Trent University,31/07/2018,"239,645","20,370","7,195","22,310",431,"289,951",309,"290,260"
10007773,The Open University,31/07/2018,"270,951","101,084","14,349","25,541","8,659","420,584","3,473","424,057"
10004930,Oxford Brookes University,31/07/2018,"132,457","15,149","4,791","46,327",210,"198,934",643,"199,577"
10007774,The University of Oxford,31/07/2018,"332,440","186,891","579,036","1,025,878","18,278","2,142,523","94,400","2,236,923"
10005127,Arts University Plymouth,31/07/2018,"11,862","3,595",0,787,10,"16,254",0,"16,254"
10007801,University of Plymouth,31/07/2018,"158,975","33,774","13,061","41,503",758,"248,071",622,"248,693"
10007155,The University of Portsmouth,31/07/2018,"194,891","22,776","8,773","18,214",931,"245,585",67,"245,652"
10005337,"Queen Margaret University, Edinburgh",31/07/2018,"12,911","15,426","1,954","6,477",27,"36,795",239,"37,034"
10007775,Queen Mary University of London,31/07/2018,"230,981","71,538","107,022","50,386",524,"460,451","1,465","461,916"
10005389,Ravensbourne University London,31/07/2018,"21,595","4,095",118,"1,071",92,"26,971",0,"26,971"
10007802,The University of Reading,31/07/2018,"182,921","29,771","38,882","59,583","2,335","313,492","3,683","317,175"
10005500,Robert Gordon University,31/07/2018,"32,947","43,158","2,198","14,004",264,"92,571",812,"93,383"
10007776,Roehampton University,31/07/2018,"99,225","11,102","2,062","21,777",135,"134,301",335,"134,636"
10005523,Rose Bruford College of Theatre and Performance,31/07/2018,"6,449","1,241",0,"1,728",1,"9,419",9,"9,428"
10007835,Royal Academy of Music,31/07/2018,"10,458","5,818",31,"1,746","1,436","19,489","14,383","33,872"
10005545,Royal Agricultural University,31/07/2018,"11,786","2,753",122,"8,641",43,"23,345",151,"23,496"
10007777,Royal College of Art,31/07/2018,"34,870","12,792","3,169","3,618",197,"54,646","6,434","61,080"
10007778,Royal College of Music,31/07/2018,"12,697","5,988",433,"2,180","2,404","23,702","11,212","34,914"
10005561,Royal Conservatoire of Scotland,31/07/2018,"9,700","12,035",59,"1,021",148,"22,963",706,"23,669"
10007816,The Royal Central School of Speech and Drama,31/07/2018,"11,686","6,161",133,633,56,"18,669",472,"19,141"
10005553,Royal Holloway and Bedford New College,31/07/2018,"105,451","20,636","13,850","31,245","1,664","172,846",982,"173,828"
10007837,Royal Northern College of Music,31/07/2018,"10,423","5,811",209,"2,500",905,"19,848","3,214","23,062"
10007779,The Royal Veterinary College,31/07/2018,"27,936","21,128","11,051","29,985",379,"90,479",759,"91,238"
10007803,The University of St. Andrews,31/07/2018,"100,215","38,253","41,274","65,361","1,732","246,835","4,078","250,913"
10007782,"St George's, University of London",31/07/2018,"38,604","17,353","13,635","19,080",570,"89,242",416,"89,658"
10008026,St Mary's University College,31/07/2018,"3,629","4,469",28,783,27,"8,936",1,"8,937"
10007843,"St Mary's University, Twickenham",31/07/2018,"38,567","4,313",461,"8,668",4,"52,013",532,"52,545"
10007156,The University of Salford,31/07/2018,"160,176","19,885","6,729","14,468",530,"201,788",395,"202,183"
10007780,SOAS University of London,31/07/2018,"63,263","8,804","7,871","5,069",997,"86,004","6,240","92,244"
10005700,SRUC,31/07/2018,"6,941","25,265","13,103","32,695",209,"78,213",1,"78,214"
10005790,Sheffield Hallam University,31/07/2018,"227,710","26,222","8,515","13,164",772,"276,383",271,"276,654"
10007157,The University of Sheffield,31/07/2018,"303,218","83,364","197,489","101,703","1,681","687,455","4,300","691,755"
10006022,Solent University,31/07/2018,"89,991","8,657",396,"18,141",107,"117,292",390,"117,682"
10007158,The University of Southampton,31/07/2018,"259,212","79,071","116,634","117,724","2,960","575,601","7,146","582,747"
10006299,Staffordshire University,31/07/2018,"90,097","11,964","1,553","10,906",213,"114,733",118,"114,851"
10007804,The University of Stirling,31/07/2018,"36,929","44,463","11,466","27,562",392,"120,812",278,"121,090"
10037449,University of St Mark and St John,31/07/2018,"19,994","1,390",375,"4,818",466,"27,043",0,"27,043"
10008010,Stranmillis University College,31/07/2018,"3,835","5,344",175,"2,651",20,"12,025",0,"12,025"
10007805,The University of Strathclyde,31/07/2018,"94,755","101,168","68,898","36,242","1,662","302,725","1,689","304,414"
10014001,University of Suffolk,31/07/2018,"33,809","2,784",491,"3,069",25,"40,178",47,"40,225"
10007159,The University of Sunderland,31/07/2018,"112,943","9,659","1,585","6,883",44,"131,114",101,"131,215"
10007160,The University of Surrey,31/07/2018,"156,104","32,856","42,729","53,306","11,107","296,102","1,404","297,506"
10007806,The University of Sussex,31/07/2018,"174,606","30,722","36,756","51,183","1,702","294,969","2,379","297,348"
10007855,Swansea University,31/07/2018,"168,850","20,644","51,644","66,172",472,"307,782",483,"308,265"
10007161,Teesside University,31/07/2018,"108,155","15,108","2,445","14,971",318,"140,997",182,"141,179"
10008017,Trinity Laban Conservatoire of Music and Dance,31/07/2018,"12,485","6,233",16,"3,988",178,"22,900","4,873","27,773"
10007858,University of Wales Trinity Saint David,31/07/2018,"57,095","43,394",227,"28,157","1,158","130,031",0,"130,031"
10007114,University of the Highlands and Islands,31/07/2018,"11,489","83,114","18,029","8,927",70,"121,629",306,"121,935"
10007807,Ulster University,31/07/2018,"76,747","86,033","26,482","13,767","1,121","204,150","5,807","209,957"
10007784,University College London,31/07/2018,"521,147","229,454","476,308","193,399","5,949","1,426,257","26,984","1,453,241"
10007793,University of South Wales,31/07/2018,"133,276","23,511","4,220","21,627",720,"183,354","1,168","184,522"
10008574,The University of Wales (central functions),31/07/2018,0,148,712,"3,868",238,"4,966",1,"4,967"
10007163,The University of Warwick,31/07/2018,"316,617","59,587","126,452","123,092","1,666","627,414","4,110","631,524"
10007164,"University of the West of England, Bristol",31/07/2018,"193,825","22,098","13,622","40,791",639,"270,975",390,"271,365"
10007800,The University of the West of Scotland,31/07/2018,"30,485","69,037","4,140","8,458",149,"112,269",59,"112,328"
10006566,The University of West London,31/07/2018,"74,929","10,637",936,"18,412",151,"105,065",986,"106,051"
10007165,The University of Westminster,31/07/2018,"158,734","18,093","4,318","18,872",108,"200,125","5,004","205,129"
10003614,The University of Winchester,31/07/2018,"59,798","3,586",641,"14,673",284,"78,982",1,"78,983"
10007166,The University of Wolverhampton,31/07/2018,"131,867","21,500","4,204","29,504",186,"187,261",77,"187,338"
10007139,University of Worcester,31/07/2018,"78,173","6,468","1,027","12,987",138,"98,793",37,"98,830"
10007657,Writtle University College,31/07/2018,"7,715","5,581",62,"3,284",83,"16,725",34,"16,759"
10007713,York St John University,31/07/2018,"49,466","3,256",201,"11,316",54,"64,293",13,"64,306"
10007167,The University of York,31/07/2018,"179,421","43,927","71,088","69,711",501,"364,648","2,121","366,769"
,Total,,"18,875,270","5,111,840","6,224,717","7,203,311","248,491","37,663,629","586,035","38,249,664"
