UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
10007783,The University of Aberdeen,31/07/2018,"55,842","74,752","56,079","31,286","1,251","219,210",261,"219,471"
10007849,Abertay University,31/07/2018,"9,064","19,475","1,316","2,627",489,"32,971",587,"33,558"
10007856,Aberystwyth University,31/07/2018,"58,198","11,933","20,004","26,684",784,"117,603",446,"118,049"
10000163,AECC University College,31/07/2018,"7,399",567,51,"1,361",14,"9,392",28,"9,420"
10000291,Anglia Ruskin University,31/07/2018,"167,988","19,372","5,205","15,100",184,"207,849",88,"207,937"
10007759,Aston University,31/07/2018,"107,403","15,793","16,688","15,999",131,"156,014",773,"156,787"
10007857,Bangor University,31/07/2018,"85,099","11,138","21,130","46,704",299,"164,370",507,"164,877"
10000571,Bath Spa University,31/07/2018,"64,110","5,486","1,690","12,213",249,"83,748",206,"83,954"
10007850,The University of Bath,31/07/2018,"163,998","31,972","37,065","49,588","2,760","285,383","2,759","288,142"
10007152,University of Bedfordshire,31/07/2018,"87,217","8,830","3,267","8,225",130,"107,669",57,"107,726"
10005343,Queen's University Belfast,31/07/2018,"108,905","99,741","91,652","52,706","3,563","356,567","1,630","358,197"
10007760,Birkbeck College,31/07/2018,"67,844","16,851","12,941","8,411",641,"106,688","2,296","108,984"
10007140,Birmingham City University,31/07/2018,"189,340","16,481","2,665","21,896",251,"230,633",356,"230,989"
10006840,The University of Birmingham,31/07/2018,"324,802","83,063","134,237","121,531","10,502","674,135","6,665","680,800"
10000712,University College Birmingham,31/07/2018,"35,250","9,807",0,"6,537","1,239","52,833",0,"52,833"
10007811,Bishop Grosseteste University,31/07/2018,"17,596","2,265",107,"4,742",31,"24,741",4,"24,745"
10006841,The University of Bolton,31/07/2018,"44,395","4,316",405,"3,933",60,"53,109",18,"53,127"
10000385,The Arts University Bournemouth,31/07/2018,"32,857","2,827",116,"7,262",59,"43,121",26,"43,147"
10000824,Bournemouth University,31/07/2018,"127,081","11,989","5,041","15,104",143,"159,358",133,"159,491"
10007785,The University of Bradford,31/07/2018,"78,872","13,401","7,305","9,526",606,"109,710",560,"110,270"
10000886,The University of Brighton,31/07/2018,"151,703","21,757","8,046","32,980",374,"214,860",428,"215,288"
10000936,The University College of Osteopathy,31/07/2018,"3,756",968,0,645,16,"5,385",82,"5,467"
10007786,The University of Bristol,31/07/2018,"266,857","87,296","168,616","131,508","3,503","657,780",73,"657,853"
10000961,Brunel University London,31/07/2018,"119,569","31,256","22,695","46,455",319,"220,294",438,"220,732"
10000975,Buckinghamshire New University,31/07/2018,"42,926","4,688",727,"8,858",129,"57,328",7,"57,335"
10007787,The University of Buckingham,31/07/2018,"31,208","2,997",351,"5,653",150,"40,359","1,077","41,436"
10007788,The University of Cambridge,31/07/2018,"295,120","173,590","524,919","887,508","19,784","1,900,921","63,835","1,964,756"
10003324,The Institute of Cancer Research,31/07/2018,"2,770","28,601","65,205","29,329","1,961","127,866","12,208","140,074"
10001143,Canterbury Christ Church University,31/07/2018,"100,003","9,780","2,148","18,803",140,"130,874",0,"130,874"
10007814,Cardiff University,31/07/2018,"265,215","49,751","105,907","87,421","7,829","516,123","1,566","517,689"
10007854,Cardiff Metropolitan University,31/07/2018,"80,403","1,779","1,991","19,438",41,"103,652",43,"103,695"
10007141,The University of Central Lancashire,31/07/2018,"158,221","28,469","6,921","32,575",702,"226,888",0,"226,888"
10007848,University of Chester,31/07/2018,"97,834","10,813","2,526","16,821",414,"128,408",28,"128,436"
10007137,The University of Chichester,31/07/2018,"40,016","4,773","1,215","10,360",7,"56,371",58,"56,429"
10001478,"City, University of London",31/07/2018,"189,852","22,999","11,992","11,460","1,108","237,411","3,824","241,235"
10001653,Conservatoire for Dance and Drama,31/07/2018,"14,032","7,382",0,4,0,"21,418",0,"21,418"
10007761,Courtauld Institute of Art,31/07/2018,"5,405","4,853","1,488","2,768","1,220","15,734","7,804","23,538"
10001726,Coventry University,31/07/2018,"298,962","26,491","9,872","31,295","1,959","368,579",147,"368,726"
10007822,Cranfield University,31/07/2018,"70,461","19,609","36,727","38,530",139,"165,466","3,271","168,737"
10006427,University for the Creative Arts,31/07/2018,"44,433","8,699",42,"9,077",57,"62,308",107,"62,415"
10007842,University of Cumbria,31/07/2018,"46,508","4,505",528,"7,472",54,"59,067",66,"59,133"
10001883,De Montfort University,31/07/2018,"193,084","17,570","4,118","9,025",947,"224,744",98,"224,842"
10007851,University of Derby,31/07/2018,"132,483","20,580","2,347","22,452",463,"178,325",19,"178,344"
10007852,The University of Dundee,31/07/2018,"56,809","78,528","74,018","31,155",986,"241,496","5,138","246,634"
10007143,University of Durham,31/07/2018,"192,566","39,414","52,705","61,807","6,449","352,941","5,465","358,406"
10007789,The University of East Anglia,31/07/2018,"152,786","33,202","45,937","92,035",703,"324,663","2,380","327,043"
10007144,The University of East London,31/07/2018,"103,582","13,059","1,337","17,955",83,"136,016",67,"136,083"
10007823,Edge Hill University,31/07/2018,"102,822","6,759",917,"15,433",300,"126,231",0,"126,231"
10007772,Edinburgh Napier University,31/07/2018,"41,545","57,104","4,218","15,479",108,"118,454",483,"118,937"
10007790,The University of Edinburgh,31/07/2018,"312,015","186,652","279,704","168,384","14,593","961,348","23,089","984,437"
10007791,The University of Essex,31/07/2018,"123,937","21,184","30,450","45,525",757,"221,853",60,"221,913"
10007792,The University of Exeter,31/07/2018,"232,065","45,795","76,073","57,584","1,450","412,967","2,522","415,489"
10008640,Falmouth University,31/07/2018,"51,655","4,187",918,"4,680",108,"61,548",0,"61,548"
10004511,The National Film and Television School,31/07/2018,"6,118","5,544",0,"2,740",0,"14,402",831,"15,233"
10007762,Glasgow Caledonian University,31/07/2018,"36,778","65,938","5,972","10,262",177,"119,127",694,"119,821"
10002681,Glasgow School of Art,31/07/2018,"15,070","14,072","2,793","6,512","2,133","40,580",0,"40,580"
10007794,The University of Glasgow,31/07/2018,"203,956","158,427","180,818","79,494","6,571","629,266","1,372","630,638"
10007145,University of Gloucestershire,31/07/2018,"64,791","6,255","1,387","12,064",440,"84,937",30,"84,967"
10007833,Glyndŵr University,31/07/2018,"26,018","2,568",519,"6,222",104,"35,431",0,"35,431"
10002718,Goldsmiths College,31/07/2018,"91,606","12,703","4,089","17,314",176,"125,888",49,"125,937"
10007146,The University of Greenwich,31/07/2018,"139,353","19,873","13,956","28,952",442,"202,576",134,"202,710"
10007825,Guildhall School of Music and Drama,31/07/2018,"14,975","5,967",410,"11,635",0,"32,987",0,"32,987"
10040812,Harper Adams University,31/07/2018,"19,049","8,985","2,746","9,338",32,"40,150",505,"40,655"
10007764,Heriot-Watt University,31/07/2018,"117,824","47,280","31,424","29,365","1,097","226,990","1,313","228,303"
10007147,University of Hertfordshire,31/07/2018,"167,875","21,162","10,529","66,427","1,192","267,185",281,"267,466"
10007765,Heythrop College,31/07/2018,247,365,33,"1,413",1,"2,059","16,305","18,364"
10007148,The University of Huddersfield,31/07/2018,"133,998","16,499","11,102","8,818","2,474","172,891",0,"172,891"
10007149,The University of Hull,31/07/2018,"128,995","26,026","10,063","27,879",591,"193,554",765,"194,319"
10003270,"Imperial College of Science, Technology and Medicine",31/07/2018,"295,861","150,538","364,229","150,937","7,823","969,388","63,680","1,033,068"
10007767,Keele University,31/07/2018,"80,201","25,795","17,777","40,231","2,051","166,055",290,"166,345"
10007150,The University of Kent,31/07/2018,"166,644","29,783","18,019","51,813",888,"267,147",683,"267,830"
10003645,King's College London,31/07/2018,"342,253","123,889","194,417","148,768","6,190","815,517","25,513","841,030"
10003678,Kingston University,31/07/2018,"140,500","20,182","4,425","25,840",583,"191,530",688,"192,218"
10007768,The University of Lancaster,31/07/2018,"142,067","33,986","39,976","71,038",390,"287,457",771,"288,228"
10003854,Leeds Arts University,31/07/2018,"14,935","3,348",0,227,61,"18,571",0,"18,571"
10003861,Leeds Beckett University,31/07/2018,"161,847","15,955","3,660","36,313",734,"218,509",24,"218,533"
10007795,The University of Leeds,31/07/2018,"349,213","89,093","137,148","127,545","3,964","706,963","7,621","714,584"
10003863,Leeds Trinity University,31/07/2018,"26,746","1,671",16,"4,217",26,"32,676",36,"32,712"
10007796,The University of Leicester,31/07/2018,"173,394","40,064","54,892","56,224",707,"325,281","5,084","330,365"
10007151,The University of Lincoln,31/07/2018,"115,653","12,829","8,377","15,103",294,"152,256",40,"152,296"
10003956,Liverpool Hope University,31/07/2018,"42,082","3,793",438,"6,114",91,"52,518",0,"52,518"
10003957,Liverpool John Moores University,31/07/2018,"179,607","20,477","8,843","4,864",674,"214,465",231,"214,696"
10003945,The Liverpool Institute for Performing Arts,31/07/2018,"8,537","1,418",0,"1,280",11,"11,246",118,"11,364"
10006842,The University of Liverpool,31/07/2018,"287,909","68,677","95,610","81,117","7,881","541,194","4,545","545,739"
10003958,Liverpool School of Tropical Medicine,31/07/2018,"3,947","9,955","76,835","140,535",521,"231,793",604,"232,397"
10007162,"University of the Arts, London",31/07/2018,"236,516","25,320",920,"37,744","1,961","302,461","6,422","308,883"
10007769,London Business School,31/07/2018,"128,849","7,926","1,888","4,811","1,260","144,734","11,780","156,514"
10007797,University of London (Institutes and activities),31/07/2018,"61,242","9,382","2,401","95,914","3,847","172,786","1,913","174,699"
10004048,London Metropolitan University,31/07/2018,"76,019","11,747",249,"5,659",633,"94,307",34,"94,341"
10004078,London South Bank University,31/07/2018,"106,536","16,543","3,739","17,708",177,"144,703",596,"145,299"
10004063,London School of Economics and Political Science,31/07/2018,"211,543","25,311","32,903","77,309","4,451","351,517","8,920","360,437"
10007771,London School of Hygiene and Tropical Medicine,31/07/2018,"19,822","25,316","140,577","18,843",484,"205,042","25,929","230,971"
