UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
10003239,ICON College of Technology and Management,30/09/2020,"7,911",32,0,91,0,,0,"8,034"
10032288,West Dean College,30/09/2020,"1,963",0,0,"2,097","3,385",,377,"7,822"
10023777,Mont Rose College of Management and Sciences,31/08/2020,"4,839",343,0,"2,596",0,,0,"7,778"
10007839,SAE Education Limited,30/06/2021,"5,468","1,151",0,814,0,,0,"7,433"
10019178,Point Blank Music School,31/12/2020,"7,145",192,0,68,9,,0,"7,414"
10004450,Mountview Academy of Theatre Arts,31/08/2020,"5,815",87,0,607,22,,388,"6,919"
10013220,Institute of Art - London Limited,31/08/2020,"6,743",0,0,87,15,,0,"6,845"
10004061,Bloomsbury Institute,31/07/2021,"5,513",682,0,171,0,,0,"6,366"
10068157,University Centre Peterborough,31/07/2021,"4,621",534,0,934,0,,0,"6,089"
10003798,Le Cordon Bleu Limited,31/12/2020,"5,612",0,0,403,8,,0,"6,023"
10067406,New Model Institute for Technology and Engineering (NMITE),31/07/2021,0,0,0,"2,496",0,,"3,067","5,563"
10000936,The University College of Osteopathy,31/07/2021,"3,447",834,31,717,52,,106,"5,187"
10008397,Norland College,31/07/2021,"3,943",0,30,738,0,,0,"4,711"
10029843,Waltham International College Limited,31/07/2021,"2,551",0,0,"2,152",0,,0,"4,703"
10004079,London Studio Centre,31/08/2020,"4,186",0,0,288,0,,0,"4,474"
10004320,The Metanoia Institute,31/08/2020,"1,530",35,129,"2,754",14,,0,"4,462"
10004036,London Film School Limited,31/08/2020,"3,799",62,0,415,6,,0,"4,282"
10030776,St Mellitus College,31/07/2021,"3,573",115,0,48,0,,130,"3,866"
10008325,KLC School of Design,31/08/2020,"3,675",0,0,44,36,,0,"3,755"
10023434,London School of Commerce & IT Limited,31/03/2021,"1,592",0,0,"2,090",0,,0,"3,682"
10023456,Newbold College,31/12/2020,775,0,0,"2,802",1,,64,"3,642"
10004075,London School of Theology,31/08/2020,"2,599",62,0,360,287,,319,"3,627"
10022087,Futureworks,31/08/2020,"3,201",274,0,0,0,,0,"3,475"
10001386,Chicken Shed Theatre Company,31/03/2021,575,326,0,"1,774",0,,675,"3,350"
10022285,London School of Management Education,31/08/2020,"3,081",199,0,12,0,,0,"3,292"
10081618,The Council of the Inns of Court,31/12/2020,74,0,0,2,0,,"3,134","3,210"
10000248,Academy of Live and Recorded Arts,31/08/2020,"2,851",0,0,283,32,,0,"3,166"
10045289,St Nicholas Montessori Training Limited,31/08/2020,487,0,0,"2,051",0,,378,"2,916"
10002344,European School of Osteopathy,31/08/2020,0,0,0,"2,871",0,,4,"2,875"
10039082,City and Guilds of London Art School,31/08/2020,"1,934",0,0,87,20,,828,"2,869"
10007912,Cliff College,31/08/2020,691,21,0,"1,507",10,,573,"2,802"
10007361,Waverley Abbey College,31/08/2020,"1,022",0,0,"1,072",1,,635,"2,730"
10023464,Trinity College Bristol,31/08/2020,"1,571",0,0,844,0,,90,"2,505"
10067355,Dyson Technical Training Limited,31/12/2020,0,0,0,"2,399",1,,0,"2,400"
10008574,The University of Wales (central functions),31/07/2021,0,0,0,"2,262",121,"2,383",0,"2,383"
10004035,The Film Education Training Trust Limited,31/01/2021,"2,333",0,0,21,3,,0,"2,357"
10032282,The Queen's Foundation for Ecumenical Theological Education,31/08/2020,"1,283",29,0,906,82,,48,"2,348"
10066143,Paris Dauphine International,31/07/2021,"2,266",0,0,26,1,,41,"2,334"
10023454,Moorlands College,30/06/2021,"1,485",73,0,579,3,,110,"2,250"
10020416,Missio Dei,30/06/2021,234,0,0,631,20,,"1,303","2,188"
10067648,University Academy 92 Limited,31/07/2021,0,6,0,"2,169",0,,0,"2,175"
10020436,Royal School of Needlework (The),31/08/2020,595,0,0,931,170,,288,"1,984"
10006093,Spurgeon's College,31/07/2021,993,32,0,77,48,,774,"1,924"
10036456,Backstage Academy (Training) Ltd,31/12/2020,0,0,68,"1,855",0,,0,"1,923"
10038772,British Academy of Jewellery Limited,30/06/2021,170,829,0,761,0,,0,"1,760"
10000216,All Nations Christian College,31/08/2020,594,0,0,374,10,,641,"1,619"
10032277,The Minster Centre,31/12/2020,"1,407",0,0,150,2,,0,"1,559"
10004538,Nazarene Theological College,30/06/2021,943,22,0,255,3,,293,"1,516"
10013109,London Bridge Business Academy,31/12/2020,"1,370",84,0,44,3,,0,"1,501"
10025197,University Centre Quayside Limited,28/02/2021,"1,387",0,0,30,34,,0,"1,451"
10082743,ThinkSpace Education Limited,31/07/2021,"1,067",63,0,278,0,,0,"1,408"
10023458,The Sherwood Psychotherapy Training Institute Limited,31/08/2020,"1,183",0,0,30,1,,0,"1,214"
10001546,The College of Integrated Chinese Medicine,30/11/2020,"1,136",0,0,59,1,,0,"1,196"
10000911,BCNO Limited,31/08/2020,0,94,0,"1,089",1,,8,"1,192"
10024024,Central Film School London,30/09/2020,989,5,0,195,0,,0,"1,189"
10032036,Amity Global Education,31/03/2021,462,26,0,644,0,,0,"1,132"
10004740,Northern College of Acupuncture,30/06/2021,"1,062",0,0,63,1,,0,"1,126"
10026921,Christ the Redeemer College,31/07/2021,"1,080",0,0,18,1,,7,"1,106"
10032072,The Cambridge Theological Federation,31/08/2020,0,0,0,"1,087",1,,0,"1,088"
10009612,Luther King House Educational Trust,31/08/2020,258,15,0,733,0,,0,"1,006"
10029682,The Islamic College,31/08/2020,801,0,0,71,0,,109,981
10023442,The College of Osteopaths,31/08/2020,66,0,0,902,2,,0,970
10023871,Results Consortium Limited,31/03/2021,736,62,0,155,0,,0,953
10062810,The London School of Architecture,30/06/2021,821,25,0,0,0,,93,939
10028216,Brit College,31/12/2020,0,0,0,878,1,,0,879
10022047,Empire College London Limited,31/03/2021,839,0,0,0,0,,0,839
10062759,Applied Business Academy Limited,31/12/2020,321,0,0,462,0,,0,783
10003284,Inchbald School of Design Limited,31/07/2021,674,0,0,80,0,,0,754
10032594,London School of Academics Ltd,31/03/2021,662,0,0,0,0,,0,662
10041898,Apex College,31/12/2020,642,0,0,0,0,,0,642
10010213,The City College,30/06/2021,473,0,0,131,1,,0,605
10023452,The Markfield Institute of Higher Education,31/12/2020,496,0,0,29,0,,71,596
10034324,Court Theatre Training Company Ltd,31/08/2020,430,78,0,3,0,,0,511
10000894,Bristol Baptist College,30/06/2021,289,0,0,0,120,,96,505
10023453,Matrix College of Counselling and Psychotherapy Ltd,31/08/2020,425,0,0,4,0,,0,429
10066502,The College of Health Ltd,31/08/2020,0,0,0,0,3,,309,312
10062833,Raindance Educational Services Limited,31/10/2020,195,0,0,0,0,,0,195
10067623,The London Interdisciplinary School Ltd,31/07/2021,0,0,0,19,0,,0,19
10083403,The Engineering and Design Institute London,31/07/2021,0,0,0,8,1,,0,9
10082828,College of Legal Practice Limited,30/06/2021,0,0,0,0,3,,0,3
10067601,JSA Education Group Ltd.,31/07/2021,0,0,0,0,0,,0,0
