UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
,Total,,"23,494,085","6,005,361","6,561,033","6,854,466","331,049","6,770,833","837,604","44,083,598"
10007774,The University of Oxford,31/07/2021,"427,591","203,806","653,348","932,340","111,608",,"104,012","2,432,705"
10007788,The University of Cambridge,31/07/2021,"339,450","212,870","588,603","921,130","2,211",,"112,616","2,176,880"
10007784,University College London,31/07/2021,"720,048","221,904","476,877","158,287","5,637",,"26,698","1,609,451"
10007790,The University of Edinburgh,31/07/2021,"434,964","236,342","323,992","163,129","13,203","1,171,630","15,776","1,187,406"
10007798,The University of Manchester,31/07/2021,"577,880","138,068","236,967","135,739","4,485",,"7,182","1,100,321"
10003270,"Imperial College of Science, Technology and Medicine",31/07/2021,"383,472","155,970","363,046","145,355","7,498",,"23,878","1,079,219"
10003645,King's College London,31/07/2021,"505,453","145,523","187,893","141,324","3,753",,"16,591","1,000,537"
10007794,The University of Glasgow,31/07/2021,"292,809","198,356","173,309","132,324","6,345","803,143","9,934","813,077"
10006840,The University of Birmingham,31/07/2021,"389,558","93,144","168,281","121,344","6,433",,"6,949","785,709"
10007786,The University of Bristol,31/07/2021,"349,843","119,877","176,437","126,316","2,400",,"1,900","776,773"
10007795,The University of Leeds,31/07/2021,"406,517","96,239","130,142","112,868","2,893",,"5,434","754,093"
10007157,The University of Sheffield,31/07/2021,"370,038","96,052","163,633","108,250","1,237",,"4,803","744,013"
10007163,The University of Warwick,31/07/2021,"389,674","66,802","139,761","100,810",955,,"5,697","703,699"
10007154,University of Nottingham,31/07/2021,"387,687","102,051","114,903","87,531","2,187",,"1,769","696,128"
10007814,Cardiff University,31/07/2021,"306,912","109,464","112,648","68,455","4,376","601,855","2,738","604,593"
10006842,The University of Liverpool,31/07/2021,"304,430","78,726","112,488","81,654","5,011",,"15,285","597,594"
10007773,The Open University,31/07/2021,"393,198","104,509","13,849","16,851","29,996",,"3,082","561,485"
10007158,The University of Southampton,31/07/2021,"239,028","84,153","120,076","101,703","6,140",,"2,977","554,077"
10007799,Newcastle University,31/07/2021,"292,935","81,143","99,586","56,041","1,134",,"5,540","536,379"
10007775,Queen Mary University of London,31/07/2021,"285,172","76,355","116,222","54,330","1,180",,"2,013","535,272"
10007792,The University of Exeter,31/07/2021,"287,491","59,416","94,618","56,287","1,145",,"2,615","501,572"
10001726,Coventry University,31/07/2021,"348,679","29,348","17,932","30,591","8,917",,166,"435,633"
10007167,The University of York,31/07/2021,"229,082","47,471","69,810","63,351",908,,"3,230","413,852"
10005343,Queen's University Belfast,31/07/2021,"143,443","109,945","88,583","49,519","2,726","394,216","3,253","397,469"
10004063,London School of Economics and Political Science,31/07/2021,"250,749","37,001","34,932","54,437","3,286",,"14,400","394,805"
10007143,University of Durham,31/07/2021,"241,301","43,046","51,170","45,751","4,625",,"7,588","393,481"
10004797,The Nottingham Trent University,31/07/2021,"314,739","25,851","9,581","18,351",508,,498,"369,528"
10004180,The Manchester Metropolitan University,31/07/2021,"294,603","29,866","11,779","30,031","1,180",,"1,568","369,027"
10007855,Swansea University,31/07/2021,"184,265","50,416","62,074","63,572",87,"360,414",339,"360,753"
10007805,The University of Strathclyde,31/07/2021,"103,339","114,254","87,992","38,433","1,423","345,441","1,955","347,396"
10007162,"University of the Arts, London",31/07/2021,"289,835","22,206","2,662","22,977","5,042",,"2,066","344,788"
10007164,"University of the West of England, Bristol",31/07/2021,"248,305","27,280","15,454","42,191",309,,259,"333,798"
10007768,The University of Lancaster,31/07/2021,"185,155","42,528","43,432","53,286",223,,995,"325,619"
10007789,The University of East Anglia,31/07/2021,"163,149","41,235","58,832","51,952",399,,"4,454","320,021"
10007796,The University of Leicester,31/07/2021,"166,510","47,566","61,592","37,446",5,,"3,565","316,684"
10007806,The University of Sussex,31/07/2021,"202,715","35,653","38,885","33,924","4,173",,730,"316,080"
10004113,Loughborough University,31/07/2021,"172,461","42,170","35,532","56,800",125,,"4,607","311,695"
10007802,The University of Reading,31/07/2021,"189,264","36,176","37,557","40,902","2,972",,"4,149","311,020"
10001282,University of Northumbria at Newcastle,31/07/2021,"239,860","24,202","12,335","27,266",120,,347,"304,130"
10007147,University of Hertfordshire,31/07/2021,"205,332","25,286","9,921","58,235","1,037",,275,"300,086"
10005790,Sheffield Hallam University,31/07/2021,"246,873","30,369","13,922","8,105",226,,514,"300,009"
10007160,The University of Surrey,31/07/2021,"160,554","41,702","43,368","41,157","11,451",,"1,537","299,769"
10007803,The University of St. Andrews,31/07/2021,"121,945","48,167","43,656","66,262","3,855","283,885","6,493","290,378"
10007850,The University of Bath,31/07/2021,"173,590","39,279","37,183","34,243","2,902",,"2,255","289,452"
10007155,The University of Portsmouth,31/07/2021,"230,507","27,792","11,284","11,931","1,006",,21,"282,541"
10007852,The University of Dundee,31/07/2021,"73,910","93,448","74,355","30,475",521,"272,709","3,513","276,222"
10007140,Birmingham City University,31/07/2021,"233,329","20,170","3,686","15,989",207,,"1,225","274,606"
10000291,Anglia Ruskin University,31/07/2021,"230,557","23,071","3,691","11,329",9,,217,"268,874"
10007141,The University of Central Lancashire,31/07/2021,"204,678","24,396","7,520","28,120",336,,14,"265,064"
10007791,The University of Essex,31/07/2021,"168,026","28,510","28,062","36,413",193,,179,"261,383"
10007150,The University of Kent,31/07/2021,"162,271","30,392","17,228","40,350",181,,593,"251,015"
10003957,Liverpool John Moores University,31/07/2021,"212,136","21,626","13,917","2,283",111,,18,"250,091"
10001478,"City, University of London",31/07/2021,"195,338","25,016","11,246","11,725",699,,"2,434","246,458"
10007771,London School of Hygiene and Tropical Medicine,31/07/2021,"23,559","31,071","167,569","14,108",215,,"7,686","244,208"
10007801,University of Plymouth,31/07/2021,"146,158","35,299","16,687","39,816","1,147",,330,"239,437"
10007807,Ulster University,31/07/2021,"98,680","92,623","31,736","14,864",458,"238,361",854,"239,215"
10021256,The Salvation Army,31/03/2021,0,0,0,"90,612","2,846",,"144,555","238,013"
10007783,The University of Aberdeen,31/07/2021,"74,423","87,577","45,927","25,764","2,012","235,703",236,"235,939"
10007764,Heriot-Watt University,31/07/2021,"128,085","49,676","32,934","21,481","1,144","233,320","1,749","235,069"
10001883,De Montfort University,31/07/2021,"201,889","21,161","3,653","7,266",533,,127,"234,629"
10000961,Brunel University London,31/07/2021,"153,516","29,204","20,916","29,996",29,,383,"234,044"
10003861,Leeds Beckett University,31/07/2021,"181,290","19,432","4,202","26,858",190,,54,"232,026"
10007146,The University of Greenwich,31/07/2021,"177,026","20,395","14,687","18,672",84,,154,"231,018"
10007156,The University of Salford,31/07/2021,"184,800","21,490","6,300","17,392",618,,294,"230,894"
10007165,The University of Westminster,31/07/2021,"179,487","17,613","4,409","10,402",304,,"3,587","215,802"
10007151,The University of Lincoln,31/07/2021,"136,438","18,986","15,988","37,333",195,,"2,856","211,796"
10003958,Liverpool School of Tropical Medicine,31/07/2021,"3,737","16,951","99,175","88,471",751,,"1,255","210,340"
10004930,Oxford Brookes University,31/07/2021,"142,757","17,026","6,324","40,557",35,,465,"207,164"
10004351,Middlesex University,31/07/2021,"159,688","19,383","4,845","21,723",104,,8,"205,751"
10007851,University of Derby,31/07/2021,"151,396","19,767","2,692","26,416",782,,158,"201,211"
10007793,University of South Wales,31/07/2021,"139,867","32,677","7,517","18,529",571,"199,161","1,051","200,212"
10004078,London South Bank University,31/07/2021,"139,563","38,891","5,915","13,670",60,,746,"198,845"
10000886,The University of Brighton,31/07/2021,"137,901","22,115","7,842","23,031",36,,553,"191,478"
10005553,Royal Holloway and Bedford New College,31/07/2021,"126,218","24,246","18,774","18,749","1,300",,564,"189,851"
10003678,Kingston University,31/07/2021,"155,480","18,880","2,486","11,187",116,,692,"188,841"
10007149,The University of Hull,31/07/2021,"123,094","25,466","11,384","25,451",519,,629,"186,543"
10007166,The University of Wolverhampton,31/07/2021,"138,225","16,765","5,067","25,181",6,,323,"185,567"
10007822,Cranfield University,31/07/2021,"72,224","22,868","41,769","34,161",182,,"11,544","182,748"
10007148,The University of Huddersfield,31/07/2021,"139,663","17,501","13,553","6,172","2,593",,0,"179,482"
10007144,The University of East London,31/07/2021,"145,598","12,962","2,191","14,100",0,,0,"174,851"
10007858,University of Wales Trinity Saint David,31/07/2021,"87,021","63,301",617,"21,804","1,128","173,871",0,"173,871"
10007759,Aston University,31/07/2021,"122,546","21,011","21,141","7,087",46,,663,"172,494"
10007767,Keele University,31/07/2021,"86,857","25,181","24,569","32,910","1,243",,239,"170,999"
10007159,The University of Sunderland,31/07/2021,"147,816","12,613","1,895","6,608",80,,490,"169,502"
10007797,University of London (Institutes and activities),31/07/2021,"84,978","8,711","1,832","67,496","3,472",,806,"167,295"
10000824,Bournemouth University,31/07/2021,"134,269","13,237","4,539","9,947",1,,415,"162,408"
10007152,University of Bedfordshire,31/07/2021,"139,565","11,424","2,822","8,364",30,,1,"162,206"
10007161,Teesside University,31/07/2021,"125,062","17,067","3,617","13,185",108,,332,"159,371"
10007857,Bangor University,31/07/2021,"75,771","30,297","23,385","23,211",461,"153,125",243,"153,368"
10001143,Canterbury Christ Church University,31/07/2021,"104,169","31,928","2,093","13,925",11,,0,"152,126"
10000975,Buckinghamshire New University,31/07/2021,"136,519","8,133",283,"6,507",16,,0,"151,458"
10007114,University of the Highlands and Islands,31/07/2021,"12,030","110,235","14,464","11,815",63,"148,607",269,"148,876"
10007769,London Business School,31/07/2021,"127,077","8,889","2,436","1,401",518,,"8,526","148,847"
10008098,Study Group,31/12/2020,"123,569",0,0,"24,627",284,,0,"148,480"
10006566,The University of West London,31/07/2021,"111,310","12,196",663,"21,291",69,,281,"145,810"
10003324,The Institute of Cancer Research,31/07/2021,"3,064","28,313","69,398","26,287","2,192",,"12,720","141,974"
10006299,Staffordshire University,31/07/2021,"110,037","12,686",733,"11,451",148,,407,"135,462"
10082570,Kaplan International Colleges U.K. Limited,26/12/2020,"99,024",0,0,"35,276",425,,0,"134,725"
10007762,Glasgow Caledonian University,31/07/2021,"46,962","73,819","5,401","7,764",159,"134,105",477,"134,582"
10007776,Roehampton University,31/07/2021,"107,396","11,992","1,813","13,027",11,,96,"134,335"
10007772,Edinburgh Napier University,31/07/2021,"51,770","66,293","3,655","8,475",193,"130,386",690,"131,076"
10007138,The University of Northampton,31/07/2021,"100,633","6,473",980,"22,100",198,,308,"130,692"
10007823,Edge Hill University,31/07/2021,"106,003","7,635","1,265","15,047",150,,0,"130,100"
10007800,The University of the West of Scotland,31/07/2021,"43,086","77,340","4,814","3,008",85,"128,333",127,"128,460"
10002718,Goldsmiths College,31/07/2021,"95,207","13,590","6,014","11,385",93,,158,"126,447"
10007804,The University of Stirling,31/07/2021,"43,480","53,687","13,289","13,694",192,"124,342",136,"124,478"
10007848,University of Chester,31/07/2021,"98,173","10,584","1,870","11,763",311,,18,"122,719"
10007854,Cardiff Metropolitan University,31/07/2021,"90,242","14,772","2,429","14,726",117,"122,286",3,"122,289"
10007785,The University of Bradford,31/07/2021,"92,152","15,053","6,170","6,855",310,,272,"120,812"
10007856,Aberystwyth University,31/07/2021,"53,989","22,054","20,217","21,707",233,"118,200",642,"118,842"
10007760,Birkbeck College,31/07/2021,"80,422","18,085","8,287","5,697",463,,"4,841","117,795"
10039956,The University of Law,30/11/2020,"111,273",602,0,"2,198",516,,0,"114,589"
10006022,Solent University,31/07/2021,"96,036","8,270",170,"8,124",5,,30,"112,635"
10006841,The University of Bolton,31/07/2021,"76,369","29,490",390,"5,061",39,,140,"111,489"
10007779,The Royal Veterinary College,31/07/2021,"35,858","24,584","12,838","36,361",541,,"1,178","111,360"
10004048,London Metropolitan University,31/07/2021,"94,839","9,683",312,"5,677",370,,11,"110,892"
10005500,Robert Gordon University,31/07/2021,"40,272","51,923","2,964","6,781",568,"102,508",693,"103,201"
10014001,University of Suffolk,31/07/2021,"88,139","5,031",283,"3,946",7,,45,"97,451"
10031982,BPP University,31/08/2020,"93,725",0,0,"2,060",0,,0,"95,785"
10007139,University of Worcester,31/07/2021,"77,197","7,363",620,"8,701",6,,16,"93,903"
10007780,SOAS University of London,31/07/2021,"65,254","9,760","7,002","5,291",966,,900,"89,173"
10007782,"St George's, University of London",31/07/2021,"39,697","18,395","11,177","16,663",394,,340,"86,666"
10003614,The University of Winchester,31/07/2021,"68,259","4,083",291,"11,590",77,,48,"84,348"
10000571,Bath Spa University,31/07/2021,"64,730","4,847","1,535","9,233",26,,83,"80,454"
10007145,University of Gloucestershire,31/07/2021,"63,971","5,956","2,030","7,967",324,,4,"80,252"
10005700,SRUC,31/07/2021,"3,964","29,771","12,314","33,485",209,"79,743",0,"79,743"
10082728,INTO University Partnerships Limited,31/07/2021,"28,976",0,0,"49,134","1,605",,0,"79,715"
10006427,University for the Creative Arts,31/07/2021,"63,296","7,793",89,"7,450",16,,119,"78,763"
10007777,Royal College of Art,31/07/2021,"51,871","8,535","3,267","2,406",477,,"10,125","76,681"
10007713,York St John University,31/07/2021,"59,969","4,339",176,"6,954",32,,10,"71,480"
10021100,Regents Theological College,30/09/2020,"1,106",0,0,"16,543",606,,"47,685","65,940"
10020381,Tavistock and Portman NHS Foundation Trust,31/03/2021,"2,382",0,"11,949","51,111",3,,0,"65,445"
10007842,University of Cumbria,31/07/2021,"49,233","6,169",399,"5,870",7,,6,"61,684"
10007137,The University of Chichester,31/07/2021,"43,527","4,441",385,"11,483",1,,-9,"59,828"
10008640,Falmouth University,31/07/2021,"48,117","4,219",580,"5,846",28,,0,"58,790"
10000712,University College Birmingham,31/07/2021,"40,789","11,008",0,"4,234",350,,0,"56,381"
10003956,Liverpool Hope University,31/07/2021,"46,963","3,888",265,"3,814",82,,0,"55,012"
10057213,CEG UFP Limited,31/08/2020,"43,458",0,0,"10,119",0,,0,"53,577"
10007843,"St Mary's University, Twickenham",31/07/2021,"40,551","4,080",769,"6,271",7,,402,"52,080"
10037544,BIMM University,31/08/2020,"49,227","2,412",0,0,0,,0,"51,639"
10053304,Navitas UK Holdings Limited,30/06/2021,0,0,0,"47,568",447,,0,"48,015"
10007833,Glyndŵr University,31/07/2021,"31,630","9,233","1,138","4,916",130,"47,047",5,"47,052"
10003863,Leeds Trinity University,31/07/2021,"40,529","1,885",45,"3,109",87,,0,"45,655"
10005337,"Queen Margaret University, Edinburgh",31/07/2021,"15,058","20,707","2,986","4,799",15,"43,565",466,"44,031"
10080811,Hartpury University,31/07/2021,"18,477","15,111",0,"8,788",0,,0,"42,376"
10040812,Harper Adams University,31/07/2021,"20,166","9,932","2,579","8,173",12,,"1,040","41,902"
10000385,The Arts University Bournemouth,31/07/2021,"32,594","2,786",10,"5,668",16,,32,"41,106"
10002681,Glasgow School of Art,31/07/2021,"17,248","16,512","2,010","2,294",296,"38,360",0,"38,360"
10007849,Abertay University,31/07/2021,"10,414","21,581","2,862","2,003",313,"37,173",4,"37,177"
10005451,Arden University,31/10/2020,"33,272","1,985",0,"1,023",564,,0,"36,844"
10007761,Courtauld Institute of Art,31/07/2021,"6,581","4,846","3,230","6,203",468,,"13,150","34,478"
10086591,Regent's University London Limited,30/06/2021,"31,031",0,0,584,4,,0,"31,619"
10037449,University of St Mark and St John,31/07/2021,"22,580","1,275",349,"6,324",3,,0,"30,531"
10042500,Global Banking School Limited,28/02/2021,"5,864",0,0,"24,514",0,,0,"30,378"
10007835,Royal Academy of Music,31/07/2021,"10,803","4,876",18,664,947,,"12,765","30,073"
10008455,Regent College London,31/07/2021,"13,406",370,0,"15,459",101,,0,"29,336"
10007778,Royal College of Music,31/07/2021,"15,189","5,883",537,"1,634","1,190",,"4,432","28,865"
10005389,Ravensbourne University London,31/07/2021,"23,655","3,646",0,975,68,,0,"28,344"
10008017,Trinity Laban Conservatoire of Music and Dance,31/07/2021,"14,102","5,833",8,"3,898",245,,"3,483","27,569"
10010308,Cambridge Arts and Sciences Limited,31/08/2020,"17,677",0,0,"8,967",0,,0,"26,644"
10004775,Norwich University of the Arts,31/07/2021,"23,337","1,829",88,"1,162",84,,21,"26,521"
10005561,Royal Conservatoire of Scotland,31/07/2021,"10,419","13,797",114,660,260,"25,250",181,"25,431"
10003854,Leeds Arts University,31/07/2021,"21,853","3,116",0,39,14,,1,"25,023"
10007825,Guildhall School of Music and Drama,31/03/2021,"10,166","4,007",264,"10,021",0,,0,"24,458"
10007832,Newman University,31/07/2021,"20,893","1,125",3,"2,098",5,,0,"24,124"
10007811,Bishop Grosseteste University,31/07/2021,"17,755","1,948",241,"2,789",10,,0,"22,743"
10007837,Royal Northern College of Music,31/07/2021,"12,166","5,333",577,"1,340",981,,"2,238","22,635"
10008071,AA School of Architecture,31/07/2021,"19,072",0,0,"1,332",2,,870,"21,276"
10083476,The Prince's Foundation,31/03/2021,113,0,0,"2,464",166,,"17,893","20,636"
10026767,Dartington Hall Trust (The),31/08/2020,295,0,0,"17,274","1,602",,886,"20,057"
10048199,New College of the Humanities,30/06/2021,"2,748",49,0,126,0,,"16,400","19,323"
10007816,The Royal Central School of Speech and Drama,31/07/2021,"11,307","6,058",482,467,46,,473,"18,833"
10005544,Royal Academy of Dance,31/07/2021,849,0,0,"17,601",11,,234,"18,695"
10008289,The London Institute of Banking & Finance,31/07/2021,"16,343",127,0,"1,760",82,,3,"18,315"
10005545,Royal Agricultural University,31/07/2021,"11,311","1,727",175,"3,469",59,,226,"16,967"
10009527,Istituto Marangoni Limited,30/06/2021,"16,136",0,0,0,814,,0,"16,950"
10008173,University College of Estate Management,31/07/2021,"14,469","1,147",28,206,258,,137,"16,245"
10004511,The National Film and Television School,31/07/2021,"6,406","5,350","1,719","1,885",0,,856,"16,216"
10001653,Conservatoire for Dance and Drama,31/07/2021,"10,406","5,396",0,0,0,,0,"15,802"
10007657,Writtle University College,31/07/2021,"7,115","5,754",0,"2,316",67,,25,"15,277"
10034449,Leeds Conservatoire,31/07/2021,"14,076",718,0,205,0,,10,"15,009"
10067388,The Institute of Ismaili Studies,31/12/2020,0,0,0,1,1,,"14,936","14,938"
10005127,Arts University Plymouth,31/07/2021,"9,977","3,326",0,718,1,,0,"14,022"
10003212,Hult International Business School Ltd,30/09/2020,"12,778",0,0,1,-1,,350,"13,128"
10067853,ACM Guildford Limited,31/08/2020,"10,614","1,381",0,619,0,,0,"12,614"
10005470,"Richmond, The American International University in London",30/06/2021,"10,100",0,0,"1,558",134,,447,"12,239"
10008010,Stranmillis University College,31/07/2021,"4,458","6,823",61,846,18,"12,206",0,"12,206"
10003945,The Liverpool Institute for Performing Arts,31/07/2021,"10,092",591,0,756,6,,51,"11,496"
10003212,Hult International Business School Ltd,31/07/2021,"11,209",0,0,1,-1,,250,"11,459"
10002313,ESCP Europe Business School,31/12/2020,"9,693",1,172,557,329,,615,"11,367"
10003758,LAMDA Limited,31/07/2021,"4,286","1,735",0,"4,100",0,,802,"10,923"
10015688,David Game College Ltd,31/01/2021,"5,425",0,0,"5,310",0,,0,"10,735"
10030129,Nelson College London Ltd,31/07/2021,"9,466",735,0,372,1,,0,"10,574"
10000163,AECC University College,31/07/2021,"8,064",908,32,"1,390",3,,38,"10,435"
10021682,Kaplan Open Learning (Essex) Limited,31/12/2020,"10,362",38,0,0,0,,0,"10,400"
10005523,Rose Bruford College of Theatre and Performance,31/07/2021,"7,422",896,103,"1,437",0,,272,"10,130"
10042570,Pearson College,31/12/2020,"9,089",862,42,0,0,,0,"9,993"
10000381,Arts Educational Schools,31/08/2020,"8,463",0,0,974,43,,253,"9,733"
10008026,St Mary's University College,31/07/2021,"4,169","4,802",0,530,4,"9,505",0,"9,505"
10008899,The Ashridge (Bonar Law Memorial) Trust,31/12/2020,"2,086","1,777",12,"5,546",12,,0,"9,433"
10045476,Met Film School Limited,30/09/2020,"6,070",0,0,"3,133",0,,0,"9,203"
10035638,Institute of Contemporary Music Performance,31/05/2021,"8,172",718,0,124,2,,0,"9,016"
10009292,Royal Academy of Dramatic Art,31/07/2021,"2,095",960,0,"3,789",103,,"2,015","8,962"
10015506,The London College,31/07/2021,"8,871",0,0,4,0,,0,"8,875"
