UKPRN,HE Provider,Financial Year End,Tuition fees and education contracts,Funding body grants,Total research grants and contracts,Total other income,Investment income,Total income before donations and endowments,Total donations and endowments,Total income
10045289,St Nicholas Montessori Training Limited,31/08/2019,715,0,0,16,0,,370,"1,101"
10032072,The Cambridge Theological Federation,31/08/2019,572,0,0,443,1,,0,"1,016"
10023434,London School of Commerce & IT Limited,31/03/2020,880,0,0,72,0,,0,952
10023871,Results Consortium Limited,31/03/2020,893,56,0,0,0,,0,949
10022047,Empire College London Limited,31/03/2020,757,0,0,0,0,,0,757
10062810,The London School of Architecture,30/06/2020,692,0,0,2,0,,60,754
10082743,ThinkSpace Education Limited,31/07/2020,727,0,0,8,0,,0,735
10023452,The Markfield Institute of Higher Education,31/12/2019,401,0,0,101,0,,210,712
10026921,Christ the Redeemer College,31/07/2020,553,0,0,55,0,,73,681
10032594,London School of Academics Ltd,31/03/2020,661,0,0,0,0,,0,661
10000894,Bristol Baptist College,30/06/2020,245,0,0,6,98,,99,448
10034324,Court Theatre Training Company Ltd,31/08/2019,420,0,0,11,0,,0,431
10023453,Matrix College of Counselling and Psychotherapy Ltd,31/08/2019,403,0,0,13,0,,0,416
10041898,Apex College,31/12/2019,384,0,0,0,0,,0,384
10083403,The Engineering and Design Institute London,31/07/2020,0,0,0,0,2,,0,2
10067601,JSA Education Group Ltd.,31/07/2020,0,0,0,0,0,,0,0
10067623,The London Interdisciplinary School Ltd,31/07/2020,0,0,0,0,0,,0,0
